,paper_title,paper_x,paper_y,cluster_index
97,"Textual Inversion and Self-supervised Refinement for Radiology Report
  Generation",0.14975003921379587,0.25510511221423365,7
98,"Generalized Semi-Supervised Learning via Self-Supervised Feature
  Adaptation",0.0042240498636337085,-0.07994598460962869,3
99,Intersectional Unfairness Discovery,0.16748227948879404,-0.18926199515452455,6
100,"MunchSonic: Tracking Fine-grained Dietary Actions through Active
  Acoustic Sensing on Eyeglasses",0.05052078032875913,0.1687479876641869,2
101,Graph External Attention Enhanced Transformer,0.18646853704659663,0.023236542150405305,1
102,"Transformers are SSMs: Generalized Models and Efficient Algorithms
  Through Structured State Space Duality",0.018602205557194305,0.1381834494627045,2
103,"Aligning Multiclass Neural Network Classifier Criterion with Task
  Performance via $F_β$-Score",0.13038516062550315,-0.09808571559539091,6
104,Flow matching achieves minimax optimal convergence,0.18719048900077948,-0.2758992249476538,6
105,"Rough Transformers: Lightweight Continuous-Time Sequence Modelling with
  Path Signatures",0.23241299319039863,0.059627932527206,1
106,Learning on Large Graphs using Intersecting Communities,0.06912298446923998,-0.20284625836915682,6
107,"Provably Efficient Interactive-Grounded Learning with Personalized
  Reward",-0.04734741518892683,-0.17840136795600942,3
108,"Weak Robust Compatibility Between Learning Algorithms and Counterfactual
  Explanation Generation Algorithms",0.02977457022637865,-0.23266688253499535,6
109,"Generative AI for Deep Reinforcement Learning: Framework, Analysis, and
  Use Cases",0.10500139365205186,-0.15436235148544633,6
110,"Goal-Oriented Sensor Reporting Scheduling for Non-linear Dynamic System
  Monitoring",0.033099985048679996,-0.1453157953416809,3
